Latitude,Longitude,Crime_Type,Date_Time,Area
22.835864,79.760988,Theft,2023-09-12 13:00:00,Delhi
22.571948,71.371089,Theft,2023-08-15 18:00:00,Chandigarh
25.583222,71.534805,Burglary,2023-02-23 00:00:00,Lucknow
23.4752,71.290412,Theft,2023-07-08 08:00:00,Lucknow
25.93595,78.156685,Theft,2023-07-02 19:00:00,Chandigarh
29.318828,72.234929,Fraud,2023-10-16 07:00:00,Panipat
20.720721,72.452628,Burglary,2023-04-14 23:00:00,Jaipur
26.125885,75.435687,Burglary,2023-10-27 01:00:00,Mumbai
24.612732,76.815658,Murder,2023-05-04 19:00:00,Panipat
29.535783,77.53634,Assault,2023-06-04 16:00:00,Panipat
22.946049,77.208639,Murder,2023-03-30 19:00:00,Mumbai
23.188967,75.602376,Murder,2023-03-03 18:00:00,Jaipur
28.387078,73.982626,Assault,2023-05-14 13:00:00,Panipat
25.752861,70.845378,Theft,2023-12-30 09:00:00,Chandigarh
23.79286,75.539334,Theft,2023-10-07 04:00:00,Chandigarh
25.485304,70.020758,Theft,2023-01-09 20:00:00,Delhi
28.154429,75.329999,Murder,2023-01-25 11:00:00,Mumbai
23.17779,79.694129,Burglary,2023-05-10 05:00:00,Lucknow
28.09033,78.467312,Assault,2023-10-28 18:00:00,Jaipur
23.381324,77.829292,Robbery,2023-07-05 10:00:00,Chandigarh
25.964094,70.164169,Fraud,2023-07-27 08:00:00,Mumbai
25.94497,78.015084,Burglary,2023-05-24 00:00:00,Lucknow
24.130315,73.022048,Murder,2023-08-07 21:00:00,Mumbai
28.863907,72.210364,Robbery,2023-02-08 10:00:00,Jaipur
23.406005,70.181177,Fraud,2023-02-12 12:00:00,Chandigarh
29.575875,79.087428,Murder,2023-05-24 19:00:00,Lucknow
21.690898,76.334251,Murder,2023-05-16 12:00:00,Jaipur
26.030178,72.199801,Burglary,2023-06-22 20:00:00,Panipat
29.413761,75.875406,Fraud,2023-05-31 01:00:00,Jaipur
27.199779,78.26099,Assault,2023-11-15 05:00:00,Chandigarh
25.260512,70.392231,Fraud,2023-04-21 21:00:00,Panipat
27.757106,79.947889,Robbery,2023-03-18 10:00:00,Delhi
20.936083,75.129092,Burglary,2024-01-01 23:00:00,Mumbai
28.921866,74.423223,Fraud,2023-10-30 06:00:00,Lucknow
20.458652,71.597978,Murder,2023-11-25 17:00:00,Panipat
